,1986,1992,1998,2004,2010,2014,2017,Topic
JE52,"ENP6, ENC6","JER16, JEC16",JE52,N/A,N/A,N/A,N/A,Youth
JE53,"ENP8, ENC8","JER17, JEC17",JE53,N/A,N/A,N/A,N/A,Youth
JE54,N/A,N/A,JE54,N/A,N/A,N/A,N/A,Youth
JE55,N/A,N/A,JE55,N/A,N/A,N/A,N/A,Youth
JE51,"ENP7, ENC7","JER18, JEC18",JE51,N/A,N/A,N/A,N/A,Youth
JE511,N/A,"JER19, JEC19",JE511,N/A,N/A,N/A,N/A,Youth
"JER02, JEC02","DI5, DI6","JER02, JEC02",N/A,N/A,N/A,N/A,N/A,Youth
"JER06, JEC06","ENP1, ENC1","JER06, JEC06",N/A,N/A,N/A,N/A,N/A,Youth
"JER09, JEC09",N/A,"JER09, JEC09",N/A,N/A,N/A,N/A,N/A,Youth
"JER09, JEC09",N/A,"JER09, JEC09",N/A,N/A,N/A,N/A,N/A,Youth
"JER10, JEC10",N/A,"JER10, JEC10",N/A,N/A,N/A,N/A,N/A,Youth
"JER13, JEC13",N/A,"JER13, JEC13",N/A,N/A,N/A,N/A,N/A,Youth
"JER14, JEC14",N/A,"JER14, JEC14",N/A,N/A,N/A,N/A,N/A,Youth
"JER15, JEC15",N/A,"JER15, JEC15",N/A,N/A,N/A,N/A,N/A,Youth
