"Harmonized_name","1986","1992","1998","2004","2010","2014","2017","2020","Topic","Notes"
"Ax13","ACT9, ACT10","Ax13","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax14","ACT11, ACT12","Ax14","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax15","ACT13, ACT14","Ax15","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax16","N/A","Ax16","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax203","N/A","Ax203","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax205","N/A","Ax205","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax206","ACT17, ACT18","Ax206","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax208a","ACT19, ACT23, ACT21, ACT25","Ax208a","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax208b","ACT19, ACT23, ACT21, ACT25","Ax208b","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax208c","N/A","Ax208c","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax208d","N/A","Ax208d","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax207a, Ax207b, Ax207c, Ax207d, Ax207e, Ax207f, Ax207g, Ax207h","N/A","Ax207a, Ax207b, Ax207c, Ax207d, Ax207e, Ax207f, Ax207g, Ax207h","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax208a, Ax208b, Ax208c, Ax208d","ACT19, ACT20, ACT23, ACT24, ACT21, ACT22, ACT25, ACT26","Ax208a, Ax208b, Ax208c, Ax208d","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax209","N/A","Ax209","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax210a","N/A","Ax210a","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax211","N/A","Ax211","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax32","ACT7, ACT8","Ax32","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax33","N/A","Ax33","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax35","N/A","Ax35","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax36","ACT31, ACT32","Ax36","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax37","ACT33, ACT34","Ax37","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax41","N/A","Ax41","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax42","N/A","Ax42","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax45","N/A","Ax45","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax46a, Ax46b","N/A","Ax46a, Ax46b","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax47","N/A","Ax47","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax51","N/A","Ax51","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax67","N/A","Ax67","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax701","N/A","Ax701","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax702a, Ax702b","N/A","Ax702a, Ax702b","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax703","RETP1, RETC1","Ax703","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax704","N/A","Ax704","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax705","RETP4, RETC4","Ax705","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax706","RETP5, RETC5","Ax706","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax707i","RETP7, RETC7","Ax707i","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax708","N/A","Ax708","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax709","N/A","Ax709","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax710","N/A","Ax710","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax711","N/A","Ax711","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax712","N/A","Ax712","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax713","N/A","Ax713","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"Ax714","N/A","Ax714","N/A","N/A","N/A","N/A","N/A","To be filled","Professional background",NA
"JEFRSO","DI7, DI8, DI9, DI10","JER03, JEC03, JER04, JEC04","JE81, JE82","JEFRSO","JEFRSO","JEFRSO","JEFRSO","To be filled","Youth",NA
"JEAINEM, JEAINEF","N/A","N/A","N/A","N/A","N/A","JEAINEM, JEAINEF","JEAINEM, JEAINEF","To be filled","Youth",NA
"JEAINE","DI11, DI12","JER05, JEC05","N/A","JEAINE","JEAINE","JEAINE","JEAINE","To be filled","Youth",NA
"JEARGT","ENP5, ENC5","JER20, JEC20","JE6","JEARGT","JEARGT","JEARGT","JEARGT","To be filled","Youth",NA
"JEGRAVE","N/A","JER21a, JEC21a","N/A","JEGRAVE","JEGRAVE","JEGRAVE","JEGRAVE","To be filled","Youth",NA
"JEGRAVE_DIV","N/A","JER21a, JEC21a","N/A","JEGRAVE1","JEGRAVE1","JEGRAVE1","JEGRAVE_DIV","To be filled","Youth",NA
"JEGRAVE_MALP","N/A","JER21b, JEC21b","N/A","JEGRAVE2","JEGRAVE2","JEGRAVE2","JEGRAVE_MALP","To be filled","Youth",NA
"JEGRAVE_MALM","N/A","JER21c, JEC21c","N/A","JEGRAVE3","JEGRAVE3","JEGRAVE3","JEGRAVE_MALM","To be filled","Youth",NA
"JEGRAVE_MALFS","N/A","N/A","N/A","N/A","N/A","N/A","JEGRAVE_MALFS","To be filled","Youth",NA
"JEGRAVE_DISP","N/A","JER21d, JEC21d","N/A","JEGRAVE4","JEGRAVE4","JEGRAVE4","JEGRAVE_DISP","To be filled","Youth",NA
"JEGRAVE_DCAS","N/A","JER21d, JEC21d","N/A","JEGRAVE5","JEGRAVE5","JEGRAVE5","JEGRAVE_DCAS","To be filled","Youth",NA
"JEGRAVE_DCFS","N/A","N/A","N/A","JEGRAVE6","JEGRAVE6","JEGRAVE6","JEGRAVE_DCFS","To be filled","Youth",NA
